gid,lon,lat,X,Y,gridmet_id,irr_freq,irr_ratio,bedrock_m,k_m/d,sy,well_depth,well_surface_ele,well_bedrock_ele,well_k,well_sy,well_depth_ele,wl_depth_m_1990,wl_depth_m_1991,wl_depth_m_1992,wl_depth_m_1993,wl_depth_m_1994,wl_depth_m_1995,wl_depth_m_1996,wl_depth_m_1997,wl_depth_m_1998,wl_depth_m_1999,wl_depth_m_2000,wl_depth_m_2001,wl_depth_m_2002,wl_depth_m_2003,wl_depth_m_2004,wl_depth_m_2005,wl_depth_m_2006,wl_depth_m_2007,wl_depth_m_2008,wl_depth_m_2009,wl_depth_m_2010,wl_depth_m_2011,wl_depth_m_2012,wl_depth_m_2013,wl_depth_m_2014,wl_depth_m_2015,wl_depth_m_2016,wl_depth_m_2017,wl_depth_m_2018,wl_depth_m_2019,wl_depth_m_2020,wl_depth_m_2021,wl_depth_m_2022,wl_ele_m_1990,wl_ele_m_1991,wl_ele_m_1992,wl_ele_m_1993,wl_ele_m_1994,wl_ele_m_1995,wl_ele_m_1996,wl_ele_m_1997,wl_ele_m_1998,wl_ele_m_1999,wl_ele_m_2000,wl_ele_m_2001,wl_ele_m_2002,wl_ele_m_2003,wl_ele_m_2004,wl_ele_m_2005,wl_ele_m_2006,wl_ele_m_2007,wl_ele_m_2008,wl_ele_m_2009,wl_ele_m_2010,wl_ele_m_2011,wl_ele_m_2012,wl_ele_m_2013,wl_ele_m_2014,wl_ele_m_2015,wl_ele_m_2016,wl_ele_m_2017,wl_ele_m_2018,wl_ele_m_2019,wl_ele_m_2020,wl_ele_m_2021,wl_ele_m_2022,st_m_1990,st_m_1991,st_m_1992,st_m_1993,st_m_1994,st_m_1995,st_m_1996,st_m_1997,st_m_1998,st_m_1999,st_m_2000,st_m_2001,st_m_2002,st_m_2003,st_m_2004,st_m_2005,st_m_2006,st_m_2007,st_m_2008,st_m_2009,st_m_2010,st_m_2011,st_m_2012,st_m_2013,st_m_2014,st_m_2015,st_m_2016,st_m_2017,st_m_2018,st_m_2019,st_m_2020,st_m_2021,st_m_2022,Crop2006,Crop2007,Crop2008,Crop2009,Crop2010,Crop2011,Crop2012,Crop2013,Crop2014,Crop2015,Crop2016,Crop2017,Crop2018,Crop2019,Crop2020,Crop2021,Crop2022,other_freq,wheat_freq,Irr1997,Irr1998,Irr1999,Irr2000,Irr2001,Irr2002,Irr2003,Irr2004,Irr2005,Irr2006,Irr2007,Irr2008,Irr2009,Irr2010,Irr2011,Irr2012,Irr2013,Irr2014,Irr2015,Irr2016,Irr2017,Irr2018,Irr2019,Irr2020
grid1,-100.77248819923611,39.31064947666666,0,0,grid5,9,0.47368421052631576,853.218990233232,59.640216,0.063,57.912,908.6214298,851.4155654,48.655224,0.0655,850.7094298,38.928844,39.07305,40.004536,39.455223,38.67876,39.24017,41.299,39.35358,41.069862,41.777626,40.614994,41.95776,43.258434,41.15618,41.676586,42.739693,43.341328,43.45352,43.49758,44.081055,44.05659,44.50473,44.71205,44.041702,42.6974,43.26347,43.426346,43.763954,43.75875,43.347015,43.293972,43.65262,43.337482,878.2461,878.3509,877.9133,877.8221,878.8361,878.7658,877.87854,878.60754,876.15234,876.5994,876.8874,876.44214,876.02765,876.5646,875.5194,875.10754,874.7473,874.0868,874.70325,873.7596,873.746,873.34143,873.0719,872.19727,873.51337,873.24994,873.06836,872.75946,872.7804,872.85443,874.6286,874.04596,873.6836,25.027103516767966,25.131900880049216,24.694339844892966,24.603092286299216,25.617130372236716,25.546817872236716,24.659549805830466,25.388553712080466,22.933353516767966,23.380436036299216,23.668399903486716,23.223148438642966,22.808658692549216,23.345584962080466,22.300418946455466,21.888553712080466,21.528324219892966,20.867801758955466,21.484256837080466,20.540592286299216,20.526981446455466,20.122440430830466,19.852909180830466,18.978275391767966,20.294376465986716,20.030948731611716,19.849369141767966,19.540470215986716,19.561405274580466,19.635440919111716,21.409610840986716,20.826969239424216,20.464603516767966,corn,corn,corn,corn,corn,sorghum,corn,fallow,wheat,corn,corn,corn,fallow,wheat,corn,corn,corn,0,2,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,1
grid2,-100.77248291270834,39.317942335000005,0,1,grid5,7,0.3684210526315789,852.79010478468,52.724304,0.0641,57.912,908.6214298,851.4155654,48.655224,0.0655,850.7094298,39.212696,39.37968,40.271523,39.743244,38.97912,39.548187,41.461376,39.6945,41.156845,41.879776,40.746975,42.084896,43.405273,42.263542,42.887226,43.001892,43.632053,43.76633,43.83033,44.41894,44.411045,44.858887,45.069733,45.530155,43.05048,43.543087,43.69153,44.03036,44.020622,43.71347,43.568844,43.94342,43.734447,877.5754,877.4854,877.0289,876.836,878.1342,877.9796,877.2318,877.6819,875.5798,875.8578,876.1606,875.66846,875.23975,875.4908,874.5215,873.78815,873.4482,872.82196,873.45135,872.42444,872.4549,872.0408,871.75574,871.1008,872.4217,872.08105,872.0128,871.7039,871.74786,871.8263,873.8815,873.22125,872.8863,24.78527363328874,24.69530781297624,24.23876484422624,24.04589375047624,25.34411152391374,25.18950947313249,24.44170673875749,24.89177998094499,22.78966816453874,23.06768330125749,23.37047871141374,22.87835224656999,22.44964130906999,22.70067890672624,21.73137959031999,20.99804218797624,20.65807636766374,20.03185566453874,20.66125019578874,19.63433369188249,19.66479023485124,19.25066669969499,18.96563252000749,18.31072529344499,19.63158710985124,19.29094990281999,19.22271259813249,18.91381367235124,18.95775898485124,19.03618916063249,21.09136494188249,20.43114765672624,20.09618671922624,sorghum,corn,corn,corn,corn,fallow,wheat,corn,fallow,wheat,corn,corn,corn,other,wheat,corn,corn,1,3,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0
grid3,-100.77247762618056,39.325235193333334,0,2,grid5,1,0.05263157894736842,852.1819558582321,54.732936,0.0683,62.7888,906.7233287,850.3245995,58.890408,0.0701,843.9345287,39.483418,39.67093,40.52524,39.484116,39.265865,39.267666,41.05712,40.01663,40.743927,41.43192,40.367916,41.608326,43.02415,42.500736,43.165325,43.253048,43.910976,44.06638,44.15138,44.742725,44.75085,45.19825,45.412315,45.875256,43.897083,44.510834,45.12891,45.47489,45.469715,45.034565,44.964428,45.36327,44.992928,876.9514,876.69714,876.2202,875.762,877.46704,876.9691,876.23267,876.8313,875.002,874.9881,875.3078,874.7688,874.3145,874.41125,873.34094,872.6304,872.30005,871.7077,872.31537,871.2443,871.31165,870.89154,870.5958,869.9147,871.3203,870.952,870.9504,870.6368,870.7108,870.789,872.92267,872.25,871.96643,24.769460157392928,24.515187696455428,24.038258985517928,23.580068067549178,25.285085157392928,24.787160352705428,24.050710157392928,24.649342969892928,22.820058301924178,22.806142286299178,23.125844434736678,22.586842969892928,22.132558301924178,22.229299024580428,21.158986524580428,20.448415235517928,20.118092969892928,19.525746778486678,20.133412794111678,19.062367872236678,19.129689649580428,18.709584669111678,18.413869337080428,17.732716993330428,19.138356641767928,18.770070508955428,18.768422559736678,18.454823926924178,18.528859571455428,18.607045606611678,20.740712598799178,20.068044141767928,19.784474805830428,corn,wheat,corn,fallow,other,corn,corn,corn,wheat,corn,corn,fallow,wheat,corn,corn,wheat,corn,1,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grid4,-100.77247233965278,39.332528051666664,0,3,grid5,19,1.0,851.515912793064,64.16040000000001,0.0726,62.7888,906.7233287,850.3245995,58.890408,0.0701,843.9345287,39.760307,39.96719,40.232918,39.730133,39.17302,39.528656,41.18631,39.87624,40.752495,41.51329,40.48851,41.644604,43.14791,42.74249,43.428246,43.033936,43.709007,43.88796,44.011395,44.59996,44.61852,45.0497,45.258156,46.228554,45.053097,45.573452,45.69475,46.042942,46.034843,45.68799,45.539494,45.957848,45.669765,876.3447,875.95,875.34766,874.9442,876.6987,876.1798,875.5398,875.9033,874.425,874.35205,874.6559,874.0536,873.60956,873.4163,872.34296,871.4688,871.1272,870.61255,871.1149,870.03674,870.1292,869.7003,869.39923,868.8431,870.21027,869.7921,869.8383,869.5149,869.6163,869.68744,871.7038,871.0726,870.85516,24.82881376943601,24.43409941396726,23.83174345693601,23.42830107412351,25.18281767568601,24.66389677724851,24.02388212881101,24.38740751943601,22.90907499990476,22.83613798818601,23.13997099599851,22.53767607412351,22.09364531240476,21.90040800771726,20.82704374990476,19.95289824209226,19.61128447256101,19.09663603506101,19.59901640615476,18.52083037099851,18.61329863271726,18.18440458974851,17.88331816396726,17.32716582021726,18.69435332021726,18.27620146474851,18.32240507802976,17.99897978506101,18.10035917959226,18.17152617177976,20.18788359365476,19.55665800771726,19.33925078115476,sorghum,corn,corn,corn,soybeans,corn,corn,sorghum,corn,wheat,corn,corn,corn,corn,corn,corn,corn,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
grid5,-100.772467053125,39.33982091,0,4,grid4,0,0.0,850.4729625,74.91374400000001,0.0748,62.7888,906.7233287,850.3245995,58.890408,0.0701,843.9345287,39.82515,40.034195,40.444817,39.79767,39.41735,39.667164,41.306915,40.143024,40.997475,41.475517,40.601147,41.92211,43.13393,42.96915,43.69384,43.252506,43.952126,44.15876,44.296795,44.881763,44.913525,45.34284,45.552814,46.561,45.136986,45.435696,45.57417,45.921303,45.901485,45.79183,45.45184,45.85156,45.863853,875.7018,875.20294,874.6862,874.2694,876.04565,875.42,874.97723,875.1649,874.22894,873.7806,874.0909,873.5307,872.9489,872.6093,871.489,870.63837,870.27466,869.7616,870.19556,869.1442,869.25665,868.8273,868.53296,867.9883,869.14343,868.7051,868.7339,868.39624,868.5175,868.57355,870.3481,869.77856,869.646,25.228819726562506,24.729979394531256,24.213255761718756,23.796446679687506,25.572691796875006,24.947020410156256,24.504271386718756,24.691954492187506,23.755980371093756,23.307616113281256,23.617918847656256,23.057738183593756,22.475951074218756,22.136351464843756,21.016051171875006,20.165404199218756,19.801695703125006,19.288634179687506,19.722594140625006,18.671263574218756,18.783690332031256,18.354308007812506,18.059996484375006,17.515318750000006,18.670470117187506,18.232115625000006,18.260924218750006,17.923277734375006,18.044554589843756,18.100584863281256,19.875120996093756,19.305601953125006,19.173033593750006,fallow,wheat,fallow,wheat,fallow,wheat,fallow,wheat,corn,fallow,wheat,corn,corn,corn,fallow,wheat,corn,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grid6,-100.77246176659723,39.34711376833334,0,5,grid4,0,0.0,848.7653085945121,82.186272,0.0753,62.7888,906.7233287,850.3245995,58.890408,0.0701,843.9345287,40.085766,40.30895,40.21933,40.01753,39.29488,39.907852,40.617123,40.108624,40.13638,41.54551,40.00991,41.113647,43.245617,42.463646,43.0413,43.01395,43.718994,44.16932,44.06424,44.735764,44.78334,45.209675,45.407806,46.122833,45.278427,45.562737,45.692917,46.038445,46.039215,45.982227,45.60058,46.02141,46.09498,875.1875,874.6154,874.0648,873.74585,875.35345,874.7228,874.2799,874.4685,873.6828,873.2794,873.58295,872.9343,872.36914,871.80133,870.6811,869.9377,869.5316,869.0914,869.3229,868.3595,868.4841,868.05975,867.78296,867.14996,868.07666,867.62335,867.72156,867.3695,867.5128,867.5517,869.06213,868.5598,868.5115,26.422191405487865,25.850108885956615,25.299510741425365,24.980541014862865,26.588145995331615,25.957469725800365,25.514598632050365,25.703197264862865,24.917491698456615,24.514110350800365,24.817638182831615,24.169017577362865,23.603832030487865,23.036021971894115,21.915782714081615,21.172374510956615,20.766307616425365,20.326061034394115,20.557567382050365,19.594188475800365,19.718761229706615,19.294444823456615,19.017650389862865,18.384654784394115,19.311351561737865,18.858043456269115,18.956249022675365,18.604198241425365,18.747508788300365,18.786388182831615,20.296825194550365,19.794505858612865,19.746166014862865,wheat,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grid7,-100.763148404375,39.31065680333333,1,0,grid5,1,0.05263157894736842,853.223585303544,61.932312,0.0637,57.912,908.6214298,851.4155654,48.655224,0.0655,850.7094298,39.336708,39.481647,40.40894,39.85671,39.091965,39.69092,41.751244,39.77427,41.622753,42.027134,40.984917,42.44081,43.54022,42.298027,42.93116,43.029526,43.67014,43.784943,43.855606,44.450302,44.434677,44.897587,45.106884,45.553284,44.059994,44.805214,44.95055,45.29763,45.29984,44.64589,44.753582,45.14464,44.544476,875.8553,875.9234,875.4496,875.3654,876.324,876.26324,875.5382,876.1267,874.0997,874.0868,874.45,874.2223,873.61487,874.3767,873.44244,872.4856,872.1131,871.56757,872.23157,871.0715,871.0786,870.6047,870.35895,869.64984,871.2966,871.16614,870.9443,870.63293,870.6445,870.7206,872.92584,872.15454,871.7736,22.63170034098721,22.69981557536221,22.22599965739346,22.14183217692471,23.10038930583096,23.03965932536221,22.31462270426846,22.90312368083096,20.87608510661221,20.86320668864346,21.22642690348721,20.99870473551846,20.39128286051846,21.15312368083096,20.21885854411221,19.26201039958096,18.88951284098721,18.34398061442471,19.00798207926846,17.84788686442471,17.85502797770596,17.38108998942471,17.13536245036221,16.42625600504971,18.07298452067471,17.94255239176846,17.72068959879971,17.40934926676846,17.42088491129971,17.49699575114346,19.70225698161221,18.93095571208096,18.55003530192471,wheat,sorghum,fallow,wheat,corn,corn,corn,corn,corn,wheat,corn,corn,corn,corn,corn,corn,corn,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grid8,-100.76313939812499,39.317941965,1,1,grid5,18,0.9473684210526315,852.34293207984,50.130456,0.062,57.912,908.6214298,851.4155654,48.655224,0.0655,850.7094298,39.607246,39.772736,40.661053,40.126762,39.378033,39.979862,41.901134,40.108456,41.70092,42.12786,41.1062,42.565094,43.68728,42.546356,43.200996,43.28212,43.95036,44.10996,44.174313,44.77581,44.78945,45.239174,45.451595,45.900764,44.438175,45.111225,45.24104,45.589493,45.5874,45.03536,45.052254,45.461655,44.963383,875.1731,875.0659,874.5983,874.4118,875.6052,875.4905,874.8857,875.2123,873.5042,873.327,873.72534,873.4224,872.8328,873.1767,872.20056,871.188,870.83484,870.1823,871.0168,869.74866,869.74524,869.3099,869.05475,868.33356,870.3291,870.14014,870.01276,869.7014,869.7294,869.81305,872.4148,871.5235,871.1534,22.83016362328499,22.72298588890999,22.25539555687874,22.06887211937874,23.26229252953499,23.14754643578499,22.54274907250374,22.86934819359749,21.16127934594124,20.98409428734749,21.38240971703499,21.07949223656624,20.48989262719124,20.83376469750374,19.85762944359749,18.84505620140999,18.49190678734749,17.83937993187874,18.67385258812874,17.40572514672249,17.40230717797249,16.96694340844124,16.71181645531624,15.990625049066239,17.98616948265999,17.79720463890999,17.66982426781624,17.35848393578499,17.38643803734749,17.47011723656624,20.07186284203499,19.18056645531624,18.81044926781624,corn,corn,corn,corn,corn,corn,corn,corn,corn,wheat,corn,corn,corn,corn,corn,corn,wheat,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
grid9,-100.76313039187501,39.32522712666667,1,2,grid5,0,0.0,851.4155654306401,48.655224000000004,0.0655,57.912,908.6214298,851.4155654,48.655224,0.0655,850.7094298,39.84781,39.990273,40.7608,40.288124,39.58984,40.110817,42.054756,40.360023,41.781036,42.308285,40.915592,42.687107,43.90272,42.78336,43.479183,43.71192,44.341297,44.489452,44.593037,45.21471,45.25954,45.68909,45.924484,46.24702,44.86884,45.452538,45.581608,45.931465,45.924644,45.498882,45.40859,45.836845,45.465588,874.59546,874.34216,873.8444,873.59454,874.9743,874.76135,874.23694,874.42267,872.95044,872.6663,872.9769,872.684,872.1372,872.10547,871.00885,870.0613,869.6983,869.0999,869.92474,868.5846,868.6199,868.16907,867.9112,867.1444,869.2243,868.9268,868.8864,868.56714,868.6191,868.70264,871.40356,870.48627,870.15857,23.179893553734928,22.926597655297428,22.428855956078678,22.178978026391178,23.558738768578678,23.345787108422428,22.821373045922428,23.007103026391178,21.534874022484928,21.250755370141178,21.561363280297428,21.268455565453678,20.721641600609928,20.689903319359928,19.593284667016178,18.645713866234928,18.282737792016178,17.684349120141178,18.509178221703678,17.169029295922428,17.204307616234928,16.753501952172428,16.495628417016178,15.728843749047428,17.808738768578678,17.511253417016178,17.470848143578678,17.151573241234928,17.203514159203678,17.287071288109928,19.987999022484928,19.070701659203678,18.743003905297428,wheat,other,fallow,other,corn,fallow,wheat,corn,corn,corn,corn,corn,fallow,wheat,corn,corn,fallow,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grid10,-100.763121385625,39.33251228833333,1,3,grid5,19,1.0,850.324599463224,58.89040800000001,0.0701,62.7888,906.7233287,850.3245995,58.890408,0.0701,843.9345287,40.128174,40.288094,41.02503,40.114227,39.880505,39.913235,41.630505,40.68869,41.36228,42.0064,40.823784,42.229992,43.62445,43.02499,43.74222,43.975395,44.63374,44.791138,44.931503,45.552795,45.614548,46.043274,46.28184,46.601685,45.371807,45.83659,45.94674,46.29792,46.28637,46.002014,45.79626,46.242355,46.01398,873.9564,873.5736,873.07587,872.6597,874.2647,873.759,873.1921,873.5928,872.2379,871.8782,872.21277,871.7569,871.2803,871.1048,869.9903,869.0081,868.63617,868.1219,868.84546,867.48676,867.5522,867.0943,866.83746,866.06976,867.9422,867.6051,867.6605,867.3255,867.40607,867.48175,869.96155,869.1186,868.8619,23.63182143521351,23.24900893521351,22.75126723599476,22.33512954068226,23.94011000943226,23.43437270474476,22.86747817349476,23.26817397427601,21.91331557583851,21.55357436490101,21.88816909146351,21.43229750943226,20.95567397427601,20.78019790005726,19.66569594693226,18.68351821255726,18.31156997036976,17.79728774380726,18.52085952115101,17.16215590786976,17.22758559536976,16.76969985318226,16.51286391568226,15.74516372036976,17.61760024380726,17.28050307583851,17.33592299771351,17.00090102505726,17.08146743130726,17.15715102505726,19.63694838833851,18.79399184536976,18.53727797818226,corn,corn,corn,corn,corn,corn,corn,corn,corn,corn,corn,corn,corn,corn,corn,corn,corn,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
