Year,Crop,Irrigation,seed,crop insurance,fertilizers,depreciation
1996,corn,0,28.19536922,6.057772849,34.41646437,16.21345086
1997,corn,0,29.0143952,9.811771464,30.5238985,11.8583096
1998,corn,0,31.97084718,6.431328221,30.05574055,25.21080663
1999,corn,0,28.6931431,1.649995558,17.49274952,29.18254856
2000,corn,0,19.30485708,4.694313531,24.0803403,11.29611469
2001,corn,0,26.26849966,4.459199492,30.46461954,12.60151361
2002,corn,0,36.05071084,6.850153029,41.33400467,26.13158566
2003,corn,0,39.62801141,9.343601413,51.75696826,25.56196647
2004,corn,0,39.88263303,12.0363172,54.86636808,29.74548883
2005,corn,0,47.2474489,9.66181106,63.97073175,34.09068643
2006,corn,0,39.3923816,10.80430531,63.90139931,27.79075322
2007,corn,0,43.98658521,18.60581995,64.90689725,26.79642547
2008,corn,0,49.13344157,21.89960047,76.41056251,31.08574711
2009,corn,0,60.06973734,15.2346062,89.21420137,32.5214865
2010,corn,0,63.41640459,14.23023095,67.17694611,36.7507466
2011,corn,0,67.70012799,19.15943656,120.4558955,38.7331312
2012,corn,0,66.56088225,19.60299154,109.3282784,42.615199
2013,corn,0,45.61,17.29,44.9,32.01
2014,corn,0,41.36891846,13.90444381,42.98273925,31.70567442
2015,corn,0,48.06236388,16.61051022,50.85371589,30.68521473
2016,corn,0,45.6582403,16.92771494,44.82350206,27.57548059
2017,corn,0,39.81139332,17.72457592,37.71105483,22.44796157
2018,corn,0,32.09911392,20.46550443,43.92754463,24.81651149
2019,corn,0,39.48269287,19.24473744,45.36910403,23.10826428
2020,corn,0,38.46147424,16.09387221,45.22126061,27.84923972
2021,corn,0,38.87631671,23.83989966,39.89078053,28.68009566
2022,corn,0,38.27227473,24.42961962,71.0839046,21.18188915
1996,sorghum,0,6.354722498,3.607938241,10.70503486,11.19500178
1997,sorghum,0,6.908880498,5.370348287,20.49441022,12.6275757
1998,sorghum,0,7.931971472,5.130770736,15.73531638,15.79248374
1999,sorghum,0,7.816504382,2.740670588,27.37873986,13.85716609
2000,sorghum,0,8.252251452,4.477861034,19.67012067,13.01420639
2001,sorghum,0,7.800310615,3.998810164,13.41706042,13.24605867
2002,sorghum,0,4.35094786,4.6487806,10.35939967,12.3276856
2003,sorghum,0,8.470012663,6.279710435,14.63577674,9.93865462
2004,sorghum,0,5.993494018,5.709851297,5.907167972,10.19880566
2005,sorghum,0,5.701661342,6.632057962,4.16889255,17.04534322
