Year,Crop,Irrigation,Gross Income
1996,corn,0.0,4.112752644996813
1997,corn,0.0,4.093076261682242
1998,corn,0.0,3.4443335582822083
1999,corn,0.0,3.355923169267707
2000,corn,0.0,6.655914285714286
2001,corn,0.0,4.143503952569169
2002,corn,0.0,4.907765591995553
2003,corn,0.0,4.102068913043478
2004,corn,0.0,2.700771995764955
2005,corn,0.0,2.982040450588838
2006,corn,0.0,4.067503174603175
2007,corn,0.0,4.584042596290186
2008,corn,0.0,4.663403064518375
2009,corn,0.0,4.082831026815887
2010,corn,0.0,5.395095067322155
2011,corn,0.0,7.208090726819271
2012,corn,0.0,11.617714966418983
2013,corn,0.0,10.42
2014,corn,0.0,4.467528301567992
2015,corn,0.0,3.557990945797137
2016,corn,0.0,2.9798213802097435
2017,corn,0.0,3.1552596279373364
2018,corn,0.0,3.4140098045852967
2019,corn,0.0,3.6995091861361113
2020,corn,0.0,4.8605654319175
2021,corn,0.0,5.338830756172269
2022,corn,0.0,19.70130614546138
1996,sorghum,0.0,3.6227857233906944
1997,sorghum,0.0,3.5415269781931458
1998,sorghum,0.0,3.044162024539877
1999,sorghum,0.0,3.006347839135654
2000,sorghum,0.0,4.5049175958188155
2001,sorghum,0.0,3.2358792772444946
2002,sorghum,0.0,19.734656364647027
2003,sorghum,0.0,8.761208913043477
2004,sorghum,0.0,6.807425304393858
2005,sorghum,0.0,8.558456093189964
2006,sorghum,0.0,10.203424156746033
2007,sorghum,0.0,5.572757666078266
2008,sorghum,0.0,4.825702475116463
2009,sorghum,0.0,3.8765177568438074
2010,sorghum,0.0,4.9544066088527705
2011,sorghum,0.0,5.9083559765091875
2012,sorghum,0.0,6.871700839307647
2013,sorghum,0.0,7.84
2014,sorghum,0.0,4.211678663152203
2015,sorghum,0.0,3.194328887801297
2016,sorghum,0.0,2.68863362318599
2017,sorghum,0.0,3.1172444516971276
2018,sorghum,0.0,3.998473439609409
2019,sorghum,0.0,3.3714738888432545
2020,sorghum,0.0,4.698546584186916
2021,sorghum,0.0,5.596745285455953
2022,sorghum,0.0,15.769005040064238
1996,soybeans,0.0,10.45262766093053
1997,soybeans,0.0,9.942401557632397
1998,soybeans,0.0,8.432185889570553
1999,soybeans,0.0,8.054215606242497
2000,soybeans,0.0,11.296114692218351
2001,soybeans,0.0,8.010774308300395
2002,soybeans,0.0,9.452952195664258
2003,soybeans,0.0,12.686027934782606
2004,soybeans,0.0,7.461036791953414
2005,soybeans,0.0,8.302000614439324
2006,soybeans,0.0,8.031007688492064
2007,soybeans,0.0,11.201692324758127
2008,soybeans,0.0,10.890290451131662
2009,soybeans,0.0,11.032330646928035
2010,soybeans,0.0,13.012328300986901
2011,soybeans,0.0,14.37475564486372
2012,soybeans,0.0,13.768767868498307
2013,soybeans,0.0,13.26
2014,soybeans,0.0,10.834248149837794
2015,soybeans,0.0,9.799218157347362
2016,soybeans,0.0,8.667688900740394
2017,soybeans,0.0,8.410857743146213
2018,soybeans,0.0,9.267923355382367
2019,soybeans,0.0,8.975410217596231
2020,soybeans,0.0,9.163065943874102
2021,soybeans,0.0,12.242342989998892
2022,soybeans,0.0,8.413850745758658
1996,wheat,0.0,9.47269381771829
1997,wheat,0.0,5.6896662928348904
1998,wheat,0.0,4.7591828834355825
1999,wheat,0.0,5.089816806722689
2000,wheat,0.0,5.844217421602789
2001,wheat,0.0,5.143206493506494
2002,wheat,0.0,6.254487548638132
2003,wheat,0.0,5.279514619565217
2004,wheat,0.0,20.81690926416093
2005,wheat,0.0,5.415385458269329
2006,wheat,0.0,8.296782043650794
2007,wheat,0.0,6.786180706272727
2008,wheat,0.0,8.244810058382837
2009,wheat,0.0,7.199247262709928
2010,wheat,0.0,6.025413104890486
2011,wheat,0.0,7.86054721502274
2012,wheat,0.0,8.492600372832042
2013,wheat,0.0,12.56
2014,wheat,0.0,7.026024685725872
2015,wheat,0.0,5.4352734613972835
2016,wheat,0.0,3.203065327261288
2017,wheat,0.0,4.466783208224543
2018,wheat,0.0,5.1859551107695125
2019,wheat,0.0,4.364691872313294
2020,wheat,0.0,5.148598938994092
2021,wheat,0.0,6.095380042071077
2022,wheat,0.0,7.466596026037485
1996,corn,1.0,4.231532504780115
1997,corn,1.0,4.078561806853582
1998,corn,1.0,3.4729172392638037
1999,corn,1.0,3.621600420168067
2000,corn,1.0,4.099069163763066
2001,corn,1.0,3.4989588932806326
2002,corn,1.0,4.260303112840467
2003,corn,1.0,3.3930693478260867
2004,corn,1.0,3.04607617787189
2005,corn,1.0,3.256388172043011
2006,corn,1.0,3.9866153273809526
2007,corn,1.0,4.527865603688591
2008,corn,1.0,4.706682907344533
2009,corn,1.0,4.978664962220969
2010,corn,1.0,5.149377866236196
2011,corn,1.0,6.679911664940273
2012,corn,1.0,7.59971048895006
2013,corn,1.0,5.1
2014,corn,1.0,4.595453120775885
2015,corn,1.0,3.666106692768873
2016,corn,1.0,3.125415258721621
2017,corn,1.0,3.1742672160574408
2018,corn,1.0,3.5438906123684326
2019,corn,1.0,3.717733369319048
2020,corn,1.0,3.9244565339185744
2021,corn,1.0,5.09811052884083
2022,corn,1.0,6.15317561634006
1996,sorghum,1.0,3.6376332058636076
1997,sorghum,1.0,3.6068420249221185
1998,sorghum,1.0,3.6015438036809813
1999,sorghum,1.0,3.6673630088398994
2000,sorghum,1.0,3.687071513039806
2001,sorghum,1.0,3.7201849340382935
2002,sorghum,1.0,3.795307332356359
2003,sorghum,1.0,3.8407979693675887
2004,sorghum,1.0,3.8678552865874196
2005,sorghum,1.0,3.863640045617465
2006,sorghum,1.0,3.8616068362193365
2007,sorghum,1.0,3.8700840903171825
2008,sorghum,1.0,3.8381351524468896
2009,sorghum,1.0,3.9633865020952093
2010,sorghum,1.0,4.4095554238360775
2011,sorghum,1.0,4.769146235201544
2012,sorghum,1.0,5.156946403216112
2013,sorghum,1.0,5.56
2014,sorghum,1.0,4.497049413692889
2015,sorghum,1.0,3.5186761287165056
2016,sorghum,1.0,2.513920968971738
2017,sorghum,1.0,3.171891267542428
2018,sorghum,1.0,3.789736427100798
2019,sorghum,1.0,4.403418261577034
2020,sorghum,1.0,5.0225842796480835
2021,sorghum,1.0,4.797210244676532
2022,sorghum,1.0,4.441749021885839
1996,soybeans,1.0,10.244762906309752
1997,soybeans,1.0,9.811771464174454
1998,soybeans,1.0,9.446906564417178
1999,soybeans,1.0,9.005060504201682
2000,soybeans,1.0,10.930851103368177
2001,soybeans,1.0,8.379085770750988
2002,soybeans,1.0,8.05443324068927
2003,soybeans,1.0,9.470208478260869
2004,soybeans,1.0,7.966660772895712
2005,soybeans,1.0,7.64595171530978
2006,soybeans,1.0,8.273671230158731
2007,soybeans,1.0,11.29157551292068
2008,soybeans,1.0,10.560281649582215
2009,soybeans,1.0,10.782583004330254
2010,soybeans,1.0,11.505975024764279
2011,soybeans,1.0,12.168831327604373
2012,soybeans,1.0,14.874733747397581
2013,soybeans,1.0,13.09
2014,soybeans,1.0,9.42707513855096
2015,soybeans,1.0,8.256111586932583
2016,soybeans,1.0,9.123883053410943
2017,soybeans,1.0,8.638948800587466
2018,soybeans,1.0,8.81334052814139
2019,soybeans,1.0,8.137097791181152
2020,soybeans,1.0,9.28908060322011
2021,soybeans,1.0,8.872259807358747
2022,soybeans,1.0,8.21484765338026
1996,wheat,1.0,7.527673613766731
1997,wheat,1.0,5.5300072897196255
1998,wheat,1.0,4.83064208588957
1999,wheat,1.0,4.6703264105642255
2000,wheat,1.0,4.775483217189315
2001,wheat,1.0,5.248438339920948
2002,wheat,1.0,5.853060811561978
2003,wheat,1.0,5.368139565217391
2004,wheat,1.0,6.745763843303334
2005,wheat,1.0,5.582379723502304
2006,wheat,1.0,6.621248065476191
2007,wheat,1.0,7.201890451524533
2008,wheat,1.0,8.07169068707821
2009,wheat,1.0,6.5260144870115635
2010,wheat,1.0,6.452747367648676
2011,wheat,1.0,7.508427840436741
2012,wheat,1.0,8.573772180457677
2013,wheat,1.0,10.99
2014,wheat,1.0,6.179752804812112
2015,wheat,1.0,5.150241037562706
2016,wheat,1.0,3.736909548471503
2017,wheat,1.0,5.0275070577676235
2018,wheat,1.0,4.731372283528535
2019,wheat,1.0,4.474036971410913
2020,wheat,1.0,4.83356229062907
2021,wheat,1.0,4.616670074177953
2022,wheat,1.0,4.2745864242879845
